ID,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Age,lifetime_so_far_days,Promotion_#_campaign_accepted,#_children_at_home,Total_$_spend_last_2_years,Total_#_purchases
5524,Graduation,Alone,58138.0,58,635.0,88.0,546.0,172.0,88.0,88.0,3,8,10,4,7,0,60,2073,6,0,1617.0,25
2174,Graduation,Alone,46344.0,38,11.0,1.0,6.0,2.0,1.0,6.0,2,1,1,2,5,0,63,1227,0,2,27.0,6
4141,Graduation,Engaged,71613.0,26,426.0,49.0,127.0,111.0,21.0,42.0,1,8,2,10,4,0,52,1574,0,0,776.0,21
6182,Graduation,Engaged,26646.0,26,11.0,4.0,20.0,10.0,3.0,5.0,2,2,0,4,6,0,33,1167,0,1,53.0,8
5324,PhD,Engaged,58293.0,94,173.0,43.0,118.0,46.0,27.0,15.0,5,5,3,6,5,0,36,1423,0,1,422.0,19
7446,Master,Engaged,62513.0,16,520.0,42.0,98.0,0.0,42.0,14.0,2,6,4,10,6,0,50,1555,0,1,716.0,22
965,Graduation,Alone,55635.0,34,235.0,65.0,164.0,50.0,49.0,27.0,4,7,3,7,6,0,46,1855,0,1,590.0,21
6177,PhD,Engaged,33454.0,32,76.0,10.0,56.0,3.0,1.0,23.0,2,4,0,4,8,0,32,1590,0,1,169.0,10
4855,PhD,Engaged,30351.0,19,14.0,0.0,24.0,3.0,3.0,2.0,1,3,0,2,9,0,43,1650,6,1,46.0,6
5899,PhD,Engaged,5648.0,68,28.0,0.0,6.0,1.0,1.0,13.0,1,1,0,0,20,0,67,1370,3,2,49.0,2
1994,Graduation,Engaged,52531.0,11,5.0,5.0,6.0,0.0,2.0,1.0,1,1,0,2,7,0,34,1488,0,1,19.0,4
387,Basic,Engaged,7500.0,59,6.0,16.0,11.0,11.0,1.0,16.0,1,2,0,3,8,0,41,1855,0,0,61.0,6
2125,Graduation,Alone,63033.0,82,194.0,61.0,480.0,225.0,112.0,30.0,1,3,4,8,2,0,58,1488,0,0,1102.0,16
8180,Master,Alone,59354.0,53,233.0,2.0,53.0,3.0,5.0,14.0,3,6,1,5,6,0,65,1488,0,2,310.0,15
2569,Graduation,Engaged,17323.0,38,3.0,14.0,17.0,6.0,1.0,5.0,1,1,0,3,8,0,30,1889,0,0,46.0,5
2114,PhD,Alone,82800.0,23,1006.0,22.0,115.0,59.0,68.0,45.0,1,7,6,12,3,0,71,1844,1,0,1315.0,26
9736,Graduation,Engaged,41850.0,51,53.0,5.0,19.0,2.0,13.0,4.0,3,3,0,3,8,0,37,1814,0,2,96.0,9
4939,Graduation,Engaged,37760.0,20,84.0,5.0,38.0,150.0,12.0,28.0,2,4,1,6,7,0,71,1929,0,0,317.0,13
6565,Master,Engaged,76995.0,91,1012.0,80.0,498.0,0.0,16.0,176.0,2,11,4,9,5,0,68,1720,1,1,1782.0,26
2278,2n_Cycle,Alone,33812.0,86,4.0,17.0,19.0,30.0,24.0,39.0,2,2,1,3,6,0,32,2102,0,1,133.0,8
9360,Graduation,Engaged,37040.0,41,86.0,2.0,73.0,69.0,38.0,48.0,1,4,2,5,8,0,35,1952,0,0,316.0,12
5376,Graduation,Engaged,2447.0,42,1.0,1.0,1725.0,1.0,1.0,1.0,15,0,28,0,1,0,38,1655,0,1,1730.0,43
1993,PhD,Engaged,58607.0,63,867.0,0.0,86.0,0.0,0.0,19.0,3,2,3,9,8,0,68,1815,4,1,972.0,17
4047,PhD,Engaged,65324.0,0,384.0,0.0,102.0,21.0,32.0,5.0,3,6,2,9,4,0,63,1137,0,1,544.0,20
1409,Graduation,Engaged,40689.0,69,270.0,3.0,27.0,39.0,6.0,99.0,7,7,1,5,8,0,66,1730,0,1,444.0,20
7892,Graduation,Alone,18589.0,89,6.0,4.0,25.0,15.0,12.0,13.0,2,2,1,3,7,0,48,1775,0,0,75.0,8
2404,Graduation,Engaged,53359.0,4,173.0,4.0,30.0,3.0,6.0,41.0,4,5,1,4,7,0,41,1660,0,2,257.0,14
5255,Graduation,Alone,52531.0,19,5.0,1.0,3.0,3.0,263.0,362.0,0,27,0,0,1,0,31,1756,0,1,637.0,27
9422,Graduation,Engaged,38360.0,26,36.0,2.0,42.0,20.0,21.0,10.0,2,2,1,4,3,0,28,1656,0,1,131.0,9
1966,PhD,Engaged,84618.0,96,684.0,100.0,801.0,21.0,66.0,0.0,1,6,9,10,2,0,52,1481,5,0,1672.0,26
